Blog	second	available	here	want	how	re	came	than	best	and	much	life	things	any	had	has	right	old	people	for	time	team	such	internet	one	open	future	take	going	where	many	s	photos	being	around	world	her	with	an	as	at	to	past	more	company	its	always	found	really	number	also	see	last	let	read	d	be	by	into	up	us	ago	video	great	makes	next	this	when	high	could	there	should	ve	off	work	after	then	them	they	another	what	just	do	the	night	post	months	way	was	live	can	still	not	now	year	looking	that	online	only	between	these	media	death	t	your	lot	you	very	family	site	a	help	since	during	x	probably	both	look	while	used	game	some	go	facebook	need	so	based	years	nbsp	i	well	twitter	home	north	he	using	even	new	ever	never	before	better	don	m	said	three	say	is	it	in	if	make	left	down	finally	me	did	run	making	may	earlier	thing	think	first	long	little	were	show	get	enough	reading	according	those	same	money	again	public	two	coming	through	good	hard	most	find	yesterday	big	google	back	use	ll	day	have	we	like	about	but	every	street	would	my	times	end	over	each	got	free	days	already	top	too	news	games	been	social	gift	christmas	why	no	today	she	season	sure	come	week	seems	on	of	or	all	list	version	might	his	him	are	from	few	getting	something	our	out	their	which	who	will	other	know	because	own	made	book
Search Engine Watch - Latest	0	0	1	0	2	2	0	1	2	26	1	0	2	1	0	11	2	0	3	13	0	0	0	0	4	0	0	1	0	1	1	12	0	1	0	4	0	8	4	3	5	27	1	2	0	1	0	0	0	0	0	1	1	1	0	0	1	2	2	0	1	1	5	0	0	0	2	0	2	0	3	0	0	0	0	1	0	0	2	0	2	0	2	46	0	0	0	1	3	1	4	0	1	4	2	2	6	4	2	1	0	1	1	2	2	0	8	0	0	4	15	1	1	1	0	1	1	0	2	2	0	3	1	0	2	1	0	0	0	3	1	2	2	0	1	0	0	10	1	0	1	0	0	2	0	1	0	4	4	14	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	1	1	0	0	1	0	2	0	1	0	0	8	1	0	1	29	1	2	0	0	5	1	1	1	1	0	1	1	0	0	0	1	2	0	0	0	1	6	0	1	1	3	6	0	0	0	2	1	0	1	0	2	2	0	8	24	2	4	2	2	0	1	0	5	3	0	0	0	0	0	3	2	0	2	2	0	0	2	0	0
Autoblog	7	4	4	1	5	10	1	5	6	124	5	1	2	4	3	16	1	0	0	67	5	1	4	0	9	5	0	3	1	1	2	57	2	1	0	2	0	43	19	30	30	106	1	11	10	27	0	0	1	3	3	24	10	2	0	5	19	19	8	11	2	4	8	0	7	4	36	6	5	6	12	3	2	2	1	9	7	4	6	3	10	12	6	279	0	2	2	2	12	0	6	2	8	8	17	1	56	0	6	0	5	0	0	15	8	1	19	2	6	3	104	0	4	0	7	2	6	3	6	6	0	5	3	0	3	10	2	6	80	0	3	0	2	5	2	1	4	18	2	1	5	1	1	8	1	4	3	62	43	69	11	5	2	4	1	0	0	3	1	2	0	5	0	8	3	3	3	6	7	2	11	9	6	3	3	1	2	6	0	5	5	2	5	8	0	5	0	8	22	5	2	19	15	6	9	22	1	0	7	5	2	3	2	1	1	5	2	5	5	0	2	0	11	0	1	3	2	4	3	0	2	1	2	2	2	77	107	9	9	9	6	1	5	2	17	13	3	0	0	20	11	8	16	6	25	5	1	1	2	0	0
Daily Kos	14	5	52	25	53	39	12	73	12	715	25	44	17	33	47	107	33	8	76	280	47	8	21	3	79	9	6	25	19	13	31	378	2	29	9	21	24	147	96	169	112	837	18	88	1	37	21	8	23	9	46	19	17	18	15	33	183	123	42	69	31	18	1	31	10	14	170	51	11	32	72	29	22	22	31	33	27	43	147	18	84	80	56	1582	7	9	21	30	149	9	61	30	165	38	48	8	484	4	42	18	39	14	11	145	39	16	171	26	5	4	683	16	24	12	0	15	13	14	26	5	5	59	18	0	16	83	7	27	83	216	24	1	16	4	133	7	57	52	14	16	16	16	34	19	51	17	37	339	292	491	84	34	6	15	14	35	28	2	13	25	2	20	27	32	22	20	50	10	34	18	12	11	49	28	16	20	20	43	11	24	17	15	44	12	3	4	0	30	2	12	33	163	90	58	100	159	19	9	80	42	17	24	52	10	12	4	18	14	12	27	20	2	58	8	4	12	25	65	15	29	14	14	23	31	9	205	745	125	96	8	4	16	100	20	174	103	22	4	22	57	61	91	39	89	114	51	24	36	19	30	8
Deadspin	0	2	6	2	2	4	1	0	1	34	1	1	2	5	2	7	1	1	1	30	8	3	0	0	10	10	0	1	1	1	0	34	3	3	5	0	2	15	8	12	18	49	1	45	0	2	2	2	1	0	0	3	5	0	0	1	4	5	3	6	4	3	23	0	0	0	17	3	3	1	5	1	2	6	1	4	3	0	6	2	4	5	1	119	9	0	1	4	12	0	7	6	6	3	2	2	21	0	2	0	2	0	0	8	23	1	9	0	0	0	49	1	3	1	0	0	0	3	5	0	9	4	1	0	0	5	0	2	40	6	1	1	1	0	7	0	1	5	0	1	2	4	2	0	1	1	2	24	18	35	2	2	1	7	3	0	0	1	1	3	2	1	0	7	0	2	3	1	6	0	0	2	0	0	0	3	0	4	1	1	2	1	2	0	0	0	0	5	1	1	5	9	14	2	4	12	0	0	0	1	0	1	1	1	5	1	1	1	3	1	1	3	3	0	2	1	1	3	4	1	2	3	2	4	0	16	39	8	8	0	0	1	15	3	10	5	1	1	0	1	4	1	4	7	2	5	1	2	1	2	0
kottke.org	2	1	8	3	6	1	1	6	13	89	5	2	3	2	6	10	4	0	2	21	4	1	1	2	13	2	2	1	2	4	6	43	2	1	3	2	1	38	14	20	15	59	3	7	1	5	1	5	5	0	3	4	7	0	2	0	21	7	6	8	2	1	12	3	2	1	25	4	1	6	18	1	2	0	5	4	1	4	14	0	7	6	8	158	1	4	0	4	16	1	12	4	10	4	11	3	43	0	4	1	7	1	2	13	3	1	23	2	0	2	82	1	3	0	0	2	0	5	2	4	6	10	0	0	2	7	0	1	130	25	3	5	0	0	11	1	2	13	3	5	5	0	3	5	4	1	5	34	32	68	7	3	1	5	2	6	2	0	2	4	3	4	1	3	3	3	10	1	2	1	5	0	1	4	0	5	0	3	4	2	6	1	7	7	0	0	4	3	0	2	0	8	15	12	11	19	2	3	6	6	3	3	4	1	3	1	4	3	1	2	1	5	6	2	0	0	1	8	1	0	5	0	3	0	2	32	105	7	5	2	3	3	6	1	16	30	1	0	6	5	7	15	5	5	8	6	2	1	0	3	2
Gawker	1	0	6	1	3	1	1	3	0	25	1	2	2	0	0	10	6	3	2	15	6	1	1	1	6	0	0	3	0	0	1	26	0	3	1	4	3	16	4	7	12	45	2	32	0	1	0	1	3	1	0	0	2	2	1	2	5	2	4	3	1	0	4	1	0	3	8	2	2	2	4	1	0	0	1	5	0	0	1	1	4	7	0	70	2	2	1	2	16	0	1	0	11	6	5	0	20	0	0	0	2	4	3	2	6	0	13	2	2	2	53	0	0	1	0	1	0	1	0	1	1	5	0	4	0	5	0	1	31	3	1	2	2	2	12	0	1	11	1	0	0	0	0	2	0	0	0	20	11	20	2	1	2	1	1	0	0	0	1	1	2	1	2	0	0	0	2	0	1	0	0	3	1	1	1	1	3	0	0	1	1	2	5	0	2	3	0	1	0	0	2	8	7	4	5	8	0	0	2	0	2	0	3	0	2	0	0	1	0	2	3	0	2	0	0	5	0	4	4	3	0	3	0	1	0	12	48	2	9	0	0	0	11	3	11	6	0	0	1	0	4	5	3	9	0	2	2	3	0	0	1
TUAW - The Unofficial Apple Weblog	7	4	9	8	11	32	3	30	62	375	9	6	9	13	7	48	8	3	9	294	18	5	3	1	37	3	1	11	13	23	12	254	5	6	13	6	4	118	67	65	60	358	2	46	13	24	4	5	15	4	46	52	7	7	2	23	81	37	13	50	26	0	37	24	10	5	121	20	12	16	56	15	22	7	22	9	17	10	35	11	24	30	11	860	1	3	1	19	27	9	66	19	45	26	24	7	173	3	16	5	11	7	1	60	107	12	180	13	3	6	354	13	4	10	24	10	19	9	27	7	18	32	18	3	13	47	10	2	236	67	32	4	4	0	10	12	20	29	4	6	10	8	15	7	6	4	10	163	186	222	64	16	1	8	1	5	7	4	5	17	7	5	11	10	5	11	10	11	33	2	2	5	9	2	4	6	4	8	2	9	12	7	21	18	2	11	4	9	65	33	5	43	63	35	25	80	7	0	23	17	3	9	18	7	9	43	13	11	14	8	6	3	22	8	14	4	8	15	13	0	2	14	5	8	3	222	388	92	48	11	22	11	10	4	73	68	18	6	3	72	40	25	22	17	47	28	10	9	4	12	8
Lifehacker	1	2	9	8	15	9	0	1	7	91	3	8	1	10	1	10	3	1	1	40	1	0	0	3	6	4	1	1	3	3	2	33	2	0	2	1	1	31	18	21	7	102	0	46	0	4	2	1	0	3	3	2	0	1	3	1	15	5	2	10	2	0	6	3	0	0	20	4	0	3	4	4	6	3	8	0	2	2	3	2	13	8	7	113	0	1	3	5	1	2	31	2	5	5	2	0	37	4	1	1	7	0	0	12	41	1	63	1	0	6	83	5	1	2	0	3	0	4	2	3	0	11	3	5	6	5	4	0	40	20	3	1	5	0	6	4	1	8	5	2	0	8	7	5	0	3	1	27	20	34	15	8	2	3	3	0	0	3	5	2	1	1	0	0	3	1	0	0	14	1	0	0	5	3	4	0	0	5	0	4	2	1	12	3	1	1	9	4	8	0	4	15	15	8	9	21	7	0	2	9	1	0	4	2	0	8	1	3	4	1	1	3	1	0	0	0	1	2	3	0	2	1	2	9	0	35	51	23	10	4	5	2	4	1	18	18	3	3	2	5	5	6	6	0	4	5	4	0	3	0	0
Gizmodo	1	0	4	4	2	5	2	2	3	32	3	1	1	2	0	7	1	0	1	15	5	0	2	0	6	1	1	3	1	2	2	39	1	1	0	1	1	16	12	9	9	39	0	41	1	3	0	0	3	0	1	3	1	1	0	2	9	12	3	2	3	1	16	0	2	1	24	4	3	1	2	2	3	0	1	4	0	2	8	0	5	4	5	90	0	1	0	3	3	2	6	3	6	2	0	0	22	0	3	0	9	0	2	7	8	1	23	2	0	0	53	1	0	2	2	1	0	2	0	1	1	1	1	0	3	9	2	2	38	11	2	1	1	1	0	3	3	4	0	2	2	2	2	1	0	0	3	26	20	31	3	3	0	1	3	5	2	2	0	1	0	1	2	3	3	0	1	0	0	0	1	0	0	2	0	0	0	5	3	0	2	0	0	3	0	0	4	1	1	0	2	5	4	7	1	11	0	2	4	3	2	2	2	3	3	1	2	0	1	1	0	1	3	0	2	4	7	2	1	0	0	1	1	1	2	20	52	3	6	3	2	0	2	0	12	10	0	0	0	1	4	1	0	2	4	1	1	2	1	0	0
Steve Pavlina's Personal Development Blog	0	0	1	0	3	1	2	2	1	11	1	3	0	0	1	0	0	0	3	4	4	0	0	0	3	0	0	0	1	0	1	11	0	2	2	0	0	4	4	1	1	14	1	3	0	0	3	1	0	0	0	0	1	0	1	0	1	1	2	3	0	1	0	0	0	0	8	0	0	0	1	0	2	0	0	1	0	0	3	0	2	0	2	19	1	0	0	1	6	0	0	1	2	2	1	0	9	1	1	0	0	0	0	1	4	1	6	3	0	1	16	1	1	0	0	1	0	0	0	1	0	0	0	0	0	3	0	1	0	11	2	0	0	0	1	1	0	4	1	0	2	1	0	2	0	0	0	10	16	9	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	2	4	0	2	0	1	0	0	0	1	1	0	0	1	1	1	0	3	0	2	0	2	3	0	0	7	2	0	0	3	2	0	0	0	8	0	0	0	2	0	1	0	2	0	0	0	0	2	1	0	0	1	0	2	0	0	0	0	1	1	5	12	2	0	0	0	0	1	0	0	3	1	1	1	3	0	0	0	0	3	0	0	1	0	1	2
Oilman	0	0	0	1	2	2	0	0	0	17	3	1	0	1	2	2	0	1	4	3	0	0	0	0	2	0	0	0	0	0	1	8	0	1	1	0	0	0	0	2	2	14	2	1	0	0	0	0	5	0	1	3	1	1	0	0	2	5	1	4	0	1	0	0	2	0	3	0	1	1	0	0	2	1	1	0	0	0	1	0	2	2	0	19	0	2	2	1	1	0	1	0	2	3	0	0	5	2	1	0	0	0	0	3	0	1	3	0	0	2	13	0	0	0	2	0	1	0	0	0	0	1	0	0	1	4	0	1	0	21	2	4	0	0	0	1	1	3	0	1	0	0	1	1	0	0	0	6	17	8	1	0	0	1	0	5	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	4	4	2	3	2	1	0	1	6	0	0	1	0	0	0	2	2	0	4	1	0	2	0	0	0	3	1	1	0	0	0	0	1	2	5	7	1	1	0	1	2	0	0	1	2	1	1	0	1	1	1	0	0	0	0	2	0	1	0	0
TMZ.com	0	0	1	0	3	3	1	0	1	25	0	0	0	0	1	8	0	2	0	6	2	0	0	0	2	0	0	2	1	0	0	28	1	0	0	2	9	5	2	6	5	20	0	0	2	0	0	1	1	0	1	1	3	0	0	0	2	3	4	2	6	0	0	1	0	1	8	3	0	1	1	0	1	3	2	0	0	1	1	0	3	2	0	47	3	0	1	0	4	0	0	0	8	5	3	0	3	0	1	0	1	0	0	0	4	0	4	1	0	0	17	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	5	0	0	1	0	3	0	0	3	0	1	1	0	0	4	0	1	0	9	7	17	1	1	1	0	2	0	1	0	0	0	1	0	2	2	0	1	2	1	1	1	0	3	0	0	1	2	0	1	0	2	5	0	0	0	1	8	0	3	0	0	2	5	4	1	3	4	0	0	1	3	0	1	1	0	1	0	0	0	0	1	4	1	1	0	2	7	1	1	1	6	1	0	0	2	0	10	14	2	2	0	0	0	6	0	6	6	0	4	0	4	5	7	0	2	4	0	1	2	1	0	4
Wired Top Stories	3	0	2	0	5	0	0	2	1	11	0	3	1	0	2	2	1	1	0	8	0	0	0	2	3	0	2	0	0	1	2	24	1	1	0	3	0	9	3	4	1	22	0	1	2	4	0	5	1	0	0	1	3	0	0	1	0	1	4	1	0	0	7	1	1	1	6	0	0	2	0	2	1	0	0	4	0	0	0	0	1	1	0	56	0	1	1	0	3	0	4	1	1	2	2	0	11	3	2	0	1	1	2	3	2	0	5	0	0	0	32	0	0	1	0	0	1	0	0	2	1	1	0	4	1	2	2	3	0	0	1	0	0	0	3	0	0	5	0	0	0	0	1	0	0	0	0	8	9	20	2	2	0	2	0	0	3	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	4	2	1	0	4	2	0	1	3	6	0	0	0	0	0	0	5	0	0	0	1	0	2	0	0	0	1	2	0	0	0	2	0	0	0	0	0	1	0	12	26	0	0	1	0	0	6	0	2	1	0	0	0	0	1	1	1	2	2	0	1	0	1	0	0
